Nome,Artista,Genero,Tonalidade
#SELFIE - Original Mix;The Chainsmokers;pop, Dance/Electronic;C
#thatPOWER;will.i.am;hip hop, pop;F#
Love;Keyshia Cole;hip hop, pop, R&B;F
Love;Musiq Soulchild;pop, R&B;C#
Love Don't Cost a Thing;Jennifer Lopez;hip hop, pop, R&B;E
Love Drunk;Boys Like Girls;pop;Bb
Love Generation - Radio Edit;Bob Sinclar;pop, Dance/Electronic;C#
Love Lies (with Normani);Khalid;pop, R&B;F#
Love Lockdown;Kanye West;hip hop;C#
Love Lockdown;Kanye West;hip hop;C#
Love Machine;Girls Aloud;pop, Dance/Electronic;G
Love Me;Lil Wayne;hip hop, pop;B
Love Me Again;John Newman;set();D
Love Me Harder;Ariana Grande;pop;C#
Love Me Harder;Ariana Grande;pop;C#
Love Me Like You Do - From "Fifty Shades Of Grey";Ellie Goulding;pop, rock, Dance/Electronic;Ab
Love Runs Out;OneRepublic;pop;G
Love Sex Magic (feat. Justin Timberlake);Ciara;pop, R&B;Bb
Love Story;Taylor Swift;pop;D
Love The Way You Lie;Eminem;hip hop;Bb
Love Today;MIKA;pop;E
Love You Like A Love Song;Selena Gomez & The Scene;pop, Dance/Electronic;C#
Love Yourself;Justin Bieber;pop;E
Love at First Sight;Kylie Minogue;pop, Dance/Electronic;Eb
Love in This Club (feat. Young Jeezy);Usher;hip hop, pop, R&B;C
LoveGame;Lady Gaga;pop;F#
LoveStoned / I Think She Knows (Interlude);Justin Timberlake;pop;C#
Loverboy;Mariah Carey;pop, R&B;C#
Lovers And Friends;Lil Jon & The East Side Boyz;hip hop, pop;Bb
Lovers on the Sun (feat. Sam Martin);David Guetta;hip hop, pop, Dance/Electronic;F#
Lovin' Each Day;Ronan Keating;pop, rock;C#
Low (feat. T-Pain);Flo Rida;hip hop, pop;Bb
Low Life (feat. The Weeknd);Future;hip hop, pop;Ab
Loyal (feat. Lil Wayne & Tyga);Chris Brown;hip hop, pop, R&B;Bb
Lucid Dreams;Juice WRLD;hip hop;F#
Lucky;Britney Spears;pop;Ab
Lush Life;Zara Larsson;pop, Dance/Electronic;G
Lust for Life (with The Weeknd);Lana Del Rey;pop;C
Luv U Better;LL Cool J;hip hop, pop, R&B;F#
MIA (feat. Drake);Bad Bunny;latin;F#
MIDDLE CHILD;J. Cole;hip hop;Ab
Mad;Ne-Yo;pop, R&B;C
Mad Love;Mabel;pop, Dance/Electronic;C
Mad World (Feat. Michael Andrews);Gary Jules;pop;Eb
Magic (feat. Rivers Cuomo);B.o.B;hip hop, pop;Ab
Magic Stick;Lil' Kim;hip hop, pop, R&B;D
Magnolia;Playboi Carti;hip hop;B
Make It Rain;Fat Joe;hip hop, pop;B
Make Luv;Room 5;Dance/Electronic;C#
Make Me Better;Fabolous;hip hop, pop, R&B;B
Makes Me Wonder;Maroon 5;pop;G
Mama;Jonas Blue;pop, Dance/Electronic;B
Mama Do (Uh Oh, Uh Oh);Pixie Lott;pop, Dance/Electronic;Eb
Man Down;Rihanna;hip hop, pop, R&B;C
Man Of The Year;ScHoolboy Q;hip hop, pop;Eb
Man's Not Hot;Big Shaq;pop, Dance/Electronic;C
Mandy;Westlife;pop;F
Maneater;Nelly Furtado;hip hop, pop, latin;F#
Maps;Maroon 5;pop;C#
Maria Maria (feat. The Product G&B);Santana;rock, blues, latin;D
Marry You;Bruno Mars;pop;Bb
Mask Off;Future;hip hop, pop;D
Me & U;Cassie;pop, R&B;Ab
Me Against the Music (feat. Madonna) - LP Version / Video Mix;Britney Spears;pop;F#
Me And My Broken Heart;Rixton;pop;F
Me Niego (feat. Ozuna & Wisin);Reik;pop, latin;C
Me, Myself & I;G-Eazy;hip hop, pop;C
Me, Myself and I;Beyoncé;pop, R&B;C#
Meant to Live;Switchfoot;rock, pop;D
Meet Me Halfway;Black Eyed Peas;hip hop, pop;B
Memories (feat. Kid Cudi);David Guetta;hip hop, pop, Dance/Electronic;Ab
Mercy;Kanye West;hip hop;F#
Mercy;Shawn Mendes;pop;E
Mercy;Duffy;pop, R&B;C
Mesmerize;Ja Rule;hip hop, pop, R&B;C#
Mi Gente;J Balvin;latin;B
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;Swedish House Mafia;pop, Dance/Electronic;G
Middle;DJ Snake;hip hop, pop, Dance/Electronic;A
Middle Of The Night;The Vamps;pop;B
Midnight City;M83;rock, pop, metal, Dance/Electronic;B
Milkshake;Kelis;pop, R&B, Dance/Electronic;C#
Million Voices - Radio Edit;Otto Knows;pop, Dance/Electronic;Ab
Millionaire;Kelis;pop, R&B, Dance/Electronic;B
Mine;Bazzi;pop, Dance/Electronic;E
Mirrors;Justin Timberlake;pop;F
Misery;Maroon 5;pop;E
Misery Business;Paramore;pop, rock;C#
Miss Independent;Ne-Yo;pop, R&B;C#
Miss Independent;Kelly Clarkson;pop, R&B;B
Miss You (with Major Lazer & Tory Lanez);Cashmere Cat;pop, rock;C#
Miss You - Main;Aaliyah;hip hop, pop, R&B;Bb
Missing You;Case;hip hop, pop, R&B;C#
Mo Bamba;Sheck Wes;hip hop;E
Mockingbird;Eminem;hip hop;C
Money;Cardi B;hip hop, pop;Ab
Money In The Grave (Drake ft. Rick Ross);Drake;hip hop, pop, R&B;Bb
Money Maker;Ludacris;hip hop, pop;C#
Money On My Mind;Sam Smith;pop;D
Monster;Skillet;rock, pop, metal;Ab
Moonlight;XXXTENTACION;hip hop;A
More - RedOne Jimmy Joker Remix;Usher;hip hop, pop, R&B;G
More Than A Woman;Aaliyah;hip hop, pop, R&B;B
More Than You Know;Axwell /\ Ingrosso;pop, Dance/Electronic;F
Most Girls;P!nk;pop;D
Motivation;Kelly Rowland;hip hop, pop, R&B;A
Motivation;Normani;pop, R&B;E
MotorSport;Migos;hip hop, pop;D
Move Bitch;Disturbing Tha Peace;hip hop, pop;C#
Move Ya Body;Nina Sky;pop, R&B;B
Move Your Body - Gabry Ponte Original Radio Edit;Eiffel 65;pop;G
Move Your Feet;Junior Senior;pop;A
Moves Like Jagger - Studio Recording From "The Voice" Performance;Maroon 5;pop;B
Mr. Saxobeat;Alexandra Stan;pop, Dance/Electronic;B
Ms. Jackson;Outkast;hip hop, pop;E
Ms. New Booty;Bubba Sparxxx;hip hop, pop, country;C#
Mundian to Bach Ke;Panjabi MC;World/Traditional, hip hop;Ab
Murder On The Dancefloor;Sophie Ellis-Bextor;pop, Dance/Electronic;C#
Music;Madonna;pop;G
Music (feat. Marvin Gaye);Erick Sermon;hip hop, pop;Bb
My Band;D12;hip hop, pop, rock;C#
My Boo;Usher;hip hop, pop, R&B;F
My Chick Bad;Ludacris;hip hop, pop;C#
My First Kiss (feat. Ke$ha);3OH!3;hip hop, pop, rock;C
My Happy Ending;Avril Lavigne;pop;D
My House;Flo Rida;hip hop, pop;G
My House;Flo Rida;hip hop, pop;G
My Humps;Black Eyed Peas;hip hop, pop;C#
My Immortal;Evanescence;metal;A
My Life;The Game;hip hop, pop;B
My Life Would Suck Without You;Kelly Clarkson;pop, R&B;A
My Love;Westlife;pop;C
My Love (feat. Jess Glynne);Route 94;pop, Dance/Electronic;Ab
My Love (feat. T.I.);Justin Timberlake;pop;B
My Love (feat. T.I.);Justin Timberlake;pop;B
My Love Is Like...Wo - Main Mix;Mýa;pop, R&B;E
My My My - Radio Edit;Armand Van Helden;pop, Dance/Electronic;G
My Neck, My Back (Lick It);Khia;pop, R&B;A
My Place;Nelly;hip hop, pop, R&B;C#
My Prerogative;Britney Spears;pop;Bb
My Sacrifice;Creed;pop, rock, metal;D
My Songs Know What You Did In The Dark (Light Em Up);Fall Out Boy;rock;A
My Type;Saweetie;hip hop, pop, R&B;D
My Way;Calvin Harris;hip hop, pop, Dance/Electronic;E
My Way (feat. Monty);Fetty Wap;hip hop, pop;F#
NO;Meghan Trainor;pop;C#
NUMB;Hayden James;pop, Dance/Electronic;Bb
Na Na;Trey Songz;hip hop, pop, R&B;A
Na Na;Trey Songz;hip hop, pop, R&B;A
Naive;The Kooks;rock;Ab
Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;The Notorious B.I.G.;hip hop;D
Natural;Imagine Dragons;rock;D
Naturally;Selena Gomez & The Scene;pop, Dance/Electronic;Bb
Naughty Girl;Beyoncé;pop, R&B;F#
Need U (100%) [feat. A*M*E] - Radio Edit;Duke Dumont;pop, Dance/Electronic;C
Need You Now;Lady A;pop, country;E
Needed Me;Rihanna;hip hop, pop, R&B;F
Nessaja;Scooter;pop, Dance/Electronic;D
Never Be Like You;Flume;Dance/Electronic;C
Never Be The Same Again;Melanie C;pop, Dance/Electronic;Eb
Never Be the Same;Camila Cabello;pop;C
Never Forget You;MNEK;Dance/Electronic;B
Never Forget You;Zara Larsson;pop, Dance/Electronic;B
Never Leave You (Uh Oooh, Uh Oooh);Lumidee;pop, R&B;F#
Never Say Never;The Fray;pop;Ab
Nevermind;Dennis Lloyd;pop;F
New Divide;Linkin Park;rock, metal;F
New Flame (feat. Usher & Rick Ross);Chris Brown;hip hop, pop, R&B;C#
New Rules;Dua Lipa;pop;A
Ni**as In Paris;JAY-Z;hip hop;C#
Nice For What;Drake;hip hop, pop, R&B;Ab
Night Changes;One Direction;pop;Ab
Nights Like This (feat. Ty Dolla $ign);Kehlani;hip hop, pop, R&B;Ab
Nine Million Bicycles;Katie Melua;pop, easy listening, jazz;C
No Brainer;DJ Khaled;hip hop, pop;C
No Hands (feat. Roscoe Dash & Wale);Waka Flocka Flame;hip hop, pop;C#
No Hands (feat. Roscoe Dash & Wale);Waka Flocka Flame;hip hop, pop;C#
No Letting Go;Wayne Wonder;hip hop, R&B;F
No Lie;Sean Paul;hip hop, pop;G
No Limit;G-Eazy;hip hop, pop;C#
No Money;Galantis;pop, Dance/Electronic;F#
No More;Ruff Endz;R&B;Bb
No More (Baby I'ma Do Right);3LW;pop, R&B;D
No More Drama;Mary J. Blige;pop, R&B;F#
No One;Alicia Keys;pop, R&B;C#
No Promises;Shayne Ward;pop;E
No Promises (feat. Demi Lovato);Cheat Codes;pop, Dance/Electronic;Bb
No Tomorrow;Orson;pop;Eb
No Type;Rae Sremmurd;hip hop, pop;F#
Nobody To Love - Radio Edit;Sigma;pop, Dance/Electronic;Ab
Nobody Wants to Be Lonely (with Christina Aguilera);Ricky Martin;pop, latin;Bb
Nobody's Home;Avril Lavigne;pop;F
Nonstop;Drake;hip hop, pop, R&B;G
Not Afraid;Eminem;hip hop;C
Not Fair;Lily Allen;pop;F
Not In Love - Radio Mix;Enrique Iglesias;pop, latin;C
Not Nice;PARTYNEXTDOOR;hip hop, pop, R&B;C
Nothin';N.O.R.E.;hip hop, pop;Eb
Nothin' on You (feat. Bruno Mars);B.o.B;hip hop, pop;Bb
Nothing Breaks Like a Heart (feat. Miley Cyrus);Mark Ronson;pop;G
Now You're Gone - Video Edit;Basshunter;pop;C#
Nu Flow;Big Brovaz;pop;G
Numb;Linkin Park;rock, metal;A
Numb / Encore;JAY-Z;hip hop;D
Number 1;Tinchy Stryder;pop, Dance/Electronic;C
OMG (feat. will.i.am);Usher;hip hop, pop, R&B;E
Oblivion;Grimes;pop, rock, Dance/Electronic;D
Obsessed;Mariah Carey;pop, R&B;Bb
Of The Night;Bastille;pop, rock;F
Oh (feat. Ludacris);Ciara;pop, R&B;G
Oh Boy;Cam’ron;hip hop, pop;F#
Old Town Road;Lil Nas X;hip hop, pop;C#
Old Town Road - Remix;Lil Nas X;hip hop, pop;F#
Omen;The Prodigy;rock, pop, Dance/Electronic;G
On A Roll;Ashley O;set();F
On Fire;Lloyd Banks;hip hop, pop;Ab
On My Mind;Ellie Goulding;pop, rock, Dance/Electronic;D
On The Floor;Jennifer Lopez;hip hop, pop, R&B;Eb
On the Hotline - Amended Version;Pretty Ricky;hip hop, pop, R&B;Bb
One;Mary J. Blige;pop, R&B;C
One (Your Name) - Radio Edit;Swedish House Mafia;pop, Dance/Electronic;A
One Call Away;Chingy;hip hop, pop, R&B;E
One Dance;Drake;hip hop, pop, R&B;C#
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];Asaf Avidan & the Mojos;pop;Eb
One Kiss (with Dua Lipa);Calvin Harris;hip hop, pop, Dance/Electronic;A
One Last Breath - Radio Version;Creed;pop, rock, metal;D
One Last Time;Ariana Grande;pop;Ab
One Love;Blue;pop;Ab
One Minute Man (feat. Ludacris);Missy Elliott;hip hop, pop, R&B;A
One More Night;Maroon 5;pop;F
One More Time;Daft Punk;hip hop, Dance/Electronic;D
One Step At a Time;Jordin Sparks;pop, R&B;C#
One Thing Right;Marshmello;pop, Dance/Electronic;E
One Time;Justin Bieber;pop;C#
One Way or Another (Teenage Kicks);One Direction;pop;E
One Wish;Ray J;hip hop, pop, R&B;F
Only Girl (In The World);Rihanna;hip hop, pop, R&B;B
Only Human;Jonas Brothers;pop;C
Only Love Can Hurt Like This;Paloma Faith;pop, R&B, Dance/Electronic;Ab
Only Time;Enya;World/Traditional, Folk/Acoustic;Eb
Only U - No Intro;Ashanti;hip hop, pop, R&B;F#
Oops (Oh My) [feat. Missy Elliott];Tweet;hip hop, pop, R&B;Bb
Oops!...I Did It Again;Britney Spears;pop;C#
Ophelia;The Lumineers;pop, Folk/Acoustic;F
Options;NSG;World/Traditional, hip hop;C#
Otherside;Red Hot Chili Peppers;rock;C
Otro Trago;Sech;latin;C
Out Of Reach;Gabrielle;pop, R&B;B
Outside (feat. Ellie Goulding);Calvin Harris;hip hop, pop, Dance/Electronic;D
Outta Control - Remix;50 Cent;hip hop, pop;Ab
Outta My System (feat. T-Pain & Johntá Austin);Bow Wow;hip hop, pop, R&B;F#
Over;Drake;hip hop, pop, R&B;G
Over And Over;Nelly;hip hop, pop, R&B;G
Overnight Celebrity;Twista;hip hop, pop, R&B;Bb
Overprotected - Radio Edit;Britney Spears;pop;C
P.I.M.P.;50 Cent;hip hop, pop;Bb
PILLOWTALK;ZAYN;pop, Dance/Electronic;B
Panda;Desiigner;hip hop, pop;Bb
Panini;Lil Nas X;hip hop, pop;F
Papaoutai;Stromae;pop;Bb
Paparazzi;Lady Gaga;pop;F
Paper Planes;M.I.A.;pop, rock;D
Papercuts (feat. Vera Blue);Illy;hip hop, pop, Dance/Electronic;F#
Paradise;Coldplay;rock, pop;F
Paradise;Coldplay;rock, pop;F
Paralyzer;Finger Eleven;rock, metal;B
Paralyzer;Finger Eleven;rock, metal;B
Paris;The Chainsmokers;pop, Dance/Electronic;D
Part Of Me;Katy Perry;pop;F
Party In The U.S.A.;Miley Cyrus;pop;Bb
Party Like A Rock Star;Shop Boyz;hip hop, pop;G
Party Rock Anthem;LMFAO;hip hop, pop, Dance/Electronic;F
Party Up;DMX;hip hop, pop;B
Pass Out;Tinie Tempah;hip hop, pop, Dance/Electronic;C#
Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix;Busta Rhymes;hip hop, pop;F#
Passionfruit;Drake;hip hop, pop, R&B;B
Patience;Take That;pop;Bb
Patience;Take That;pop;Bb
Payphone;Maroon 5;pop;E
Peaches & Cream;112;hip hop, pop, R&B;E
Perfect;One Direction;pop;D
Perfect;Ed Sheeran;pop;Ab
Perfect Strangers;Jonas Blue;pop, Dance/Electronic;C#
Photograph;Nickelback;rock, metal;Ab
Piece Of Your Heart;MEDUZA;pop, Dance/Electronic;Bb
Piece of Me;Britney Spears;pop;B
Pieces Of Me;Ashlee Simpson;pop;D
Pink + White;Frank Ocean;hip hop, pop, R&B;A
Pjanoo - Radio Edit;Eric Prydz;pop, Dance/Electronic;G
Plain Jane;A$AP Ferg;hip hop, pop;B
Play;David Banner;hip hop, pop;C#
Play;Jennifer Lopez;hip hop, pop, R&B;C#
Play Hard (feat. Ne-Yo & Akon);David Guetta;hip hop, pop, Dance/Electronic;Ab
Please Don't Go;Joel Adams;R&B;E
Please Me;Cardi B;hip hop, pop;C#
Plug Walk;Rich The Kid;hip hop, pop;B
Pocketful of Sunshine;Natasha Bedingfield;pop;A
Point Of View - Radio Edit;DB Boulevard;Dance/Electronic;F#
Poker Face;Lady Gaga;pop;E
Pompeii;Bastille;pop, rock;A
Pon de Replay;Rihanna;hip hop, pop, R&B;G
Pop Out (feat. Lil Tjay);Polo G;hip hop;C#
Pop Style;Drake;hip hop, pop, R&B;G
Pop Ya Collar - Radio Edit;Usher;hip hop, pop, R&B;F
Pop, Lock & Drop It - Video Edit;Huey;hip hop, pop;B
Post Malone (feat. RANI);Sam Feldt;pop, Dance/Electronic;G
Post to Be (feat. Chris Brown & Jhene Aiko);Omarion;hip hop, pop, R&B;Bb
Pound The Alarm;Nicki Minaj;hip hop, pop;A
Power Trip (feat. Miguel);J. Cole;hip hop;C#
Powerglide (feat. Juicy J) - From SR3MM;Rae Sremmurd;hip hop, pop;C#
Pray For Me (with Kendrick Lamar);The Weeknd;pop, R&B;D
Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;pop, rock;A
Pretty Girl - Cheat Codes X CADE Remix;Maggie Lindemann;rock, pop;G
Pretty Girl Rock;Keri Hilson;pop, R&B;B
Pretty Green Eyes - Radio Edit;Ultrabeat;pop, Dance/Electronic;C#
Price Tag;Jessie J;hip hop, pop;F
Primadonna;MARINA;pop, Dance/Electronic;E
Princess of China;Coldplay;rock, pop;A
Problem;Ariana Grande;pop;C#
Promiscuous;Nelly Furtado;hip hop, pop, latin;Bb
Promise;Jagged Edge;hip hop, pop, R&B;F
Promise;Ciara;pop, R&B;A
Propane Nightmares;Pendulum;Dance/Electronic;G
Proper Education - Radio Edit;Eric Prydz;pop, Dance/Electronic;C
Psycho (feat. Ty Dolla $ign);Post Malone;hip hop;Ab
Pullin' Me Back;Chingy;hip hop, pop, R&B;G
Pump It;Black Eyed Peas;hip hop, pop;C#
Pumped Up Kicks;Foster The People;rock, pop;F
Pure Shores;All Saints;pop;F#
Pure Water (with Migos);Mustard;hip hop, pop;C
Purple Pills;D12;hip hop, pop, rock;C#
Push The Button;Sugababes;pop, R&B;Ab
Put On;Jeezy;hip hop, pop;A
Put That Woman First;Jaheim;pop, R&B;F
Put Your Hands Up For Detroit - Radio Edit;Fedde Le Grand;pop, Dance/Electronic;G
Put Your Hands Up for Detroit - Radio Edit;Fedde Le Grand;pop, Dance/Electronic;G
R.I.P. (feat. Tinie Tempah);Rita Ora;hip hop, pop, Dance/Electronic;B
Rack City;Tyga;hip hop, pop;C#
Radio;Robbie Williams;pop, rock;F
Radioactive;Imagine Dragons;rock;A
Rain On Me;Ashanti;hip hop, pop, R&B;Ab
Rainy Dayz;Mary J. Blige;pop, R&B;F#
Raise Your Glass;P!nk;pop;G
Rake It Up (feat. Nicki Minaj);Yo Gotti;hip hop, pop;C#
Ransom;Lil Tecca;hip hop;G
Rapture (feat.Nadia Ali);iio;Dance/Electronic;Ab
Rather Be (feat. Jess Glynne);Clean Bandit;pop, Dance/Electronic;B
Read All About It;Professor Green;Dance/Electronic;B
Read All About It, Pt. III;Emeli Sandé;pop, R&B;D
Read Your Mind;Avant;pop, R&B;Ab
Ready For Your Love;Gorgon City;pop, Dance/Electronic;F
Ready or Not;Bridgit Mendler;pop;D
Red Lights;Tiësto;pop, Dance/Electronic;Bb
Reggaetón Lento (Remix);CNCO;pop, latin;E
Rehab;Amy Winehouse;R&B;C
Release Me;Agnes;pop, Dance/Electronic;D
Reload - Radio Edit;Sebastian Ingrosso;pop, Dance/Electronic;A
Remember the Name (feat. Styles of Beyond);Fort Minor;hip hop, pop, rock;Ab
Renegades;X Ambassadors;hip hop, rock, pop;D
Renegades;X Ambassadors;hip hop, rock, pop;D
Replay;Iyaz;hip hop, pop;A
Reptilia;The Strokes;rock;A
Ric Flair Drip (with Metro Boomin);Offset;hip hop, pop;A
Rich Girl;Gwen Stefani;pop, R&B;G
Rich Love (with Seeb);OneRepublic;pop;C#
Ride;Twenty One Pilots;rock;F#
Ride;Lana Del Rey;pop;C
Ride It;Regard;pop, Dance/Electronic;G
Ride Wit Me;Nelly;hip hop, pop, R&B;G
Ridin';Chamillionaire;hip hop, pop;Ab
Ridin' Solo;Jason Derulo;hip hop, pop;A
Right Above It;Lil Wayne;hip hop, pop;Eb
Right Now (Na Na Na);Akon;pop;Ab
Right Round;Flo Rida;hip hop, pop;G
Right Thurr;Chingy;hip hop, pop, R&B;D
Riptide;Vance Joy;rock, pop;C#
Rise;Jonas Blue;pop, Dance/Electronic;C#
Rise;Gabrielle;pop, R&B;Ab
Rise;Gabrielle;pop, R&B;Ab
Rise & Fall (feat. Sting);Craig David;hip hop, pop, R&B;F#
River (feat. Ed Sheeran);Eminem;hip hop;Ab
Riverside;Sidney Samson;Dance/Electronic;C#
Roar;Katy Perry;pop;G
Robbery;Juice WRLD;hip hop;D
Rock DJ;Robbie Williams;pop, rock;G
Rock The Boat;Aaliyah;hip hop, pop, R&B;F
Rock This Party - Everybody Dance Now;Bob Sinclar;pop, Dance/Electronic;F
Rock Wit U (Awww Baby);Ashanti;hip hop, pop, R&B;E
Rock Your Body;Justin Timberlake;pop;E
Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;pop, Dance/Electronic;A
Rocketeer;Far East Movement;hip hop, pop;E
Rockin' That Shit;The-Dream;hip hop, pop, R&B;Ab
Rockstar;Nickelback;rock, metal;C
Rolex;Ayo & Teo;hip hop, pop;C#
Roll Up;Wiz Khalifa;hip hop, pop;Eb
Rollin' (Air Raid Vehicle);Limp Bizkit;metal;C#
Rolling in the Deep;Adele;pop, R&B;Ab
Rollout (My Business);Ludacris;hip hop, pop;G
Romeo;Basement Jaxx;pop, Dance/Electronic;D
Roses;The Chainsmokers;pop, Dance/Electronic;E
Round Round;Sugababes;pop, R&B;F#
Royals;Lorde;pop, Dance/Electronic;G
Ruby;Kaiser Chiefs;rock;F
Rude;MAGIC!;set();C#
Rude Boy;Rihanna;hip hop, pop, R&B;B
Rule The World - Radio Edit;Take That;pop;D
Rumour Has It;Adele;pop, R&B;C
Run;Leona Lewis;pop, R&B;F
Run It! (feat. Juelz Santana);Chris Brown;hip hop, pop, R&B;C#
Run This Town;JAY-Z;hip hop;C#
Runaway (U & I);Galantis;pop, Dance/Electronic;C#
Runaway Love;Ludacris;hip hop, pop;C#
Russian Roulette;Rihanna;hip hop, pop, R&B;F#
S&M;Rihanna;hip hop, pop, R&B;C#
SAD!;XXXTENTACION;hip hop;Ab
SICKO MODE;Travis Scott;hip hop, Dance/Electronic;Ab
SICKO MODE;Travis Scott;hip hop, Dance/Electronic;Ab
SOS;Rihanna;hip hop, pop, R&B;G
SOS (feat. Aloe Blacc);Avicii;pop, Dance/Electronic;F
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox);Enrique Iglesias;pop, latin;C
Safe And Sound;Capital Cities;pop;C
Sail;AWOLNATION;pop, rock;C#
Salt Shaker;Ying Yang Twins;hip hop, pop;B
Same Old Love;Selena Gomez;pop;B
Same Old Love;Selena Gomez;pop;B
Sandstorm;Darude;pop, Dance/Electronic;B
Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz;Benny Benassi;pop, Dance/Electronic;B
Save That Shit;Lil Peep;hip hop;D
Save The World;Swedish House Mafia;pop, Dance/Electronic;C
Savin' Me;Nickelback;rock, metal;Eb
Say Aah (feat. Fabolous);Trey Songz;hip hop, pop, R&B;C#
Say It;Flume;Dance/Electronic;Eb
Say It;Tory Lanez;hip hop, pop, R&B;B
Say It Right;Nelly Furtado;hip hop, pop, latin;C#
Say My Name;Destiny's Child;pop, R&B;F
Say Yes;Floetry;hip hop, pop, R&B;F
Scandalous - U.S. Radio Edit;Mis-Teeq;pop, Dance/Electronic;C
Scared to Be Lonely;Martin Garrix;pop, Dance/Electronic;C#
Scars;Papa Roach;rock, metal;B
Scars To Your Beautiful;Alessia Cara;pop, R&B;C
Scream;Usher;hip hop, pop, R&B;G
Scream & Shout;will.i.am;hip hop, pop;F
Second Chance;Shinedown;rock, metal;C
Secreto;Anuel AA;latin;B
Secrets;OneRepublic;pop;D
See You Again;Miley Cyrus;pop;A
See You Again (feat. Charlie Puth);Wiz Khalifa;hip hop, pop;Bb
Seek Bromance - Avicii’s Vocal Edit;Tim Berg;pop, Dance/Electronic;B
Sensual Seduction;Snoop Dogg;hip hop, pop;B
Separated;Avant;pop, R&B;C
Set Fire to the Rain;Adele;pop, R&B;D
Seven Nation Army;The White Stripes;rock, blues;E
Sex;Cheat Codes;pop, Dance/Electronic;C
Sex on Fire;Kings of Leon;rock;A
Sex on Fire;Kings of Leon;rock;A
Sexbomb;Tom Jones;rock, Folk/Acoustic, easy listening;Ab
Sexy And I Know It;LMFAO;hip hop, pop, Dance/Electronic;G
Sexy And I Know It;LMFAO;hip hop, pop, Dance/Electronic;G
Sexy Bitch (feat. Akon);David Guetta;hip hop, pop, Dance/Electronic;B
Sexy Can I feat. Yung Berg;Ray J;hip hop, pop, R&B;C#
Sexy Love;Ne-Yo;pop, R&B;Ab
SexyBack (feat. Timbaland);Justin Timberlake;pop;G
Señorita;Shawn Mendes;pop;A
Shackles (Praise You);Mary Mary;R&B;G
Shake It;Metro Station;pop, rock;E
Shake It Off;Taylor Swift;pop;G
Shake That;Eminem;hip hop;C#
Shake Ya Ass;Mystikal;hip hop, pop;G
Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;Nelly;hip hop, pop, R&B;C#
Shalala Lala;Vengaboys;pop;D
Shallow;Lady Gaga;pop;G
Shape of My Heart;Backstreet Boys;pop;A
Shape of You;Ed Sheeran;pop;C#
Shawty (feat. T Pain);Plies;hip hop, pop, R&B;E
She Bangs - English Version;Ricky Martin;pop, latin;C#
She Doesn't Mind;Sean Paul;hip hop, pop;G
She Hates Me;Puddle Of Mudd;rock, metal;E
She Looks So Perfect;5 Seconds of Summer;pop;A
She Said;Plan B;Dance/Electronic;Eb
She Wants To Move;N.E.R.D;hip hop;F
She Wolf;Shakira;pop, latin;G
She Wolf (Falling to Pieces) [feat. Sia];David Guetta;hip hop, pop, Dance/Electronic;G
Shine;Years & Years;pop, Dance/Electronic;C#
Shiver;Natalie Imbruglia;pop, Folk/Acoustic;C#
Shotta Flow (feat. Blueface) [Remix];NLE Choppa;hip hop;D
Shout Out to My Ex;Little Mix;pop;F
Show Me (feat. Chris Brown);Kid Ink;hip hop, pop;G
Show Me the Meaning of Being Lonely;Backstreet Boys;pop;F#
Shower;Becky G;pop, latin;D
Shut Up;Black Eyed Peas;hip hop, pop;D
Shut Up And Drive;Rihanna;hip hop, pop, R&B;C#
Shut Up and Let Me Go;The Ting Tings;pop, rock, Dance/Electronic;G
Sick Boy;The Chainsmokers;pop, Dance/Electronic;B
Sick and Tired;Anastacia;pop;C
Side To Side;Ariana Grande;pop;F#
Signs;Snoop Dogg;hip hop, pop;G
Silence;Marshmello;pop, Dance/Electronic;E
Silhouettes - Original Radio Edit;Avicii;pop, Dance/Electronic;F
Sin Pijama;Becky G;pop, latin;B
Since U Been Gone;Kelly Clarkson;pop, R&B;A
Sing;Ed Sheeran;pop;Ab
Sing;Travis;rock, pop;E
Sing For The Moment;Eminem;hip hop;F
Single Ladies (Put a Ring on It);Beyoncé;pop, R&B;C#
Sit Still, Look Pretty;Daya;rock, pop, Dance/Electronic;D
Sk8er Boi;Avril Lavigne;pop;C
Skin;Rag'n'Bone Man;R&B;C
Skyfall;Adele;pop, R&B;C
Slippery (feat. Gucci Mane);Migos;hip hop, pop;C#
Slow Down - 12" Version;Bobby V.;hip hop, pop, R&B;B
Slow Jamz;Twista;hip hop, pop, R&B;D
Slow Motion;JUVENILE;hip hop, pop;C
Smack That;Akon;pop;F
Smile;Lily Allen;pop;F
Smooth Criminal;Alien Ant Farm;rock, metal;A
Snap Yo Fingers;Lil Jon;hip hop, pop;Ab
